Description: Acceleration measurements for 3 axes
Lines: 80001
TS: 442153538 ms 
Sampling frequency: 26757 Hz 
Units: m/s^2
Data:
-8.0518484 -6.1387863 0.2608177 
-8.0542412 -6.0693946 0.2847459 
-8.0183487 -6.0562339 0.2751746 
-8.0075808 -6.1172509 0.2297110 
-8.1200438 -6.1543398 0.1758725 
-8.1212397 -6.1016979 0.2452643 
-8.0757761 -6.1232333 0.2321038 
-8.0183487 -6.1675005 0.1674976 
-8.0518484 -6.2129641 0.3206382 
-8.1068830 -6.1962142 0.2919244 
-8.0949192 -6.1328044 0.1579263 
-8.0255270 -6.0765729 0.1076770 
-8.0039921 -6.1136618 0.1495514 
-8.0362949 -6.0921264 0.3349952 
-8.1212397 -6.0981083 0.3708875 
-8.1499538 -6.1423759 0.3002992 
-8.0949192 -6.1280189 0.2871387 
-7.9788671 -6.1459651 0.2751746 
-7.9872422 -6.0681982 0.3158526 
-8.1020975 -6.0825553 0.2775674 
-8.0099735 -6.0849481 0.0921237 
-8.0542412 -6.1040907 0.1986043 
-7.9944205 -6.0670018 0.2249253 
-7.9752779 -6.0634127 0.0981057 
-8.0542412 -6.1172509 0.0981057 
-8.1104727 -6.0873408 0.1363909 
-8.1044903 -6.0957155 0.1722832 
-8.0027952 -6.0047884 0.1938186 
-8.0757761 -6.0873408 0.2069792 
-8.0865440 -6.1459651 0.1004985 
-7.9764743 -6.0059848 0.1112663 
-8.0578299 -6.0717874 0.1986043 
-7.9788671 -6.0430737 0.2045863 
-7.9872422 -6.0454664 0.1734796 
-8.0398836 -6.0873408 0.0562313 
-7.9896350 -6.0394845 0.1471586 
-8.1044903 -6.0849481 0.2333002 
-8.1068830 -6.0765729 0.1519442 
-8.0709906 -6.0825553 0.2129612 
-8.1882391 -6.1938214 0.2667997 
-8.1128654 -6.1256261 0.2297110 
-8.0709906 -6.1244297 0.2021935 
-8.0865440 -6.1351972 0.2021935 
-8.0997047 -6.1220369 0.3290131 
-8.2360954 -6.1280189 0.3314059 
-8.1104727 -6.0933228 0.2297110 
-8.1020975 -6.1507506 0.1854438 
-8.0626163 -6.1005015 0.1256232 
-7.9597244 -6.0801625 0.1411765 
-8.0279198 -6.0658054 0.3050849 
-8.0913296 -6.0346985 0.4019942 
-8.0279198 -6.0083776 0.3062813 
-8.0901337 -5.9952173 0.1316053 
-8.1152582 -6.0370917 0.1316053 
-8.0051880 -6.0693946 0.1722832 
-8.0231342 -6.1483579 0.1926222 
-8.0434732 -6.1854467 0.2500500 
-8.0063848 -6.1782680 0.2009971 
-8.0925264 -6.1902323 0.3517449 
-8.0877409 -6.0681982 0.3349952 
-8.0374908 -6.0981083 0.2835495 
-8.0159559 -6.1220369 0.3170490 
-8.0566339 -6.0873408 0.2811567 
-8.1355972 -6.2021961 0.3122634 
-8.1116686 -6.2500529 0.2703890 
-8.0374908 -6.1220369 0.2285146 
-8.0590267 -6.1567326 0.3409772 
-8.0769730 -6.2177496 0.3876373 
-8.0135632 -6.1136618 0.3433701 
-8.0614195 -6.1016979 0.4235296 
-8.0458660 -6.1375899 0.3696911 
-8.1032934 -6.1722860 0.2153540 
-8.1272221 -6.0921264 0.2656033 
-8.0805616 -6.0418773 0.2285146 
-8.1403828 -6.1136618 0.2727818 
-8.1164541 -6.0418773 0.3302095 
-8.0745802 -6.0693946 0.1950150 
-8.0721874 -6.1639113 0.1794617 
-8.0745802 -6.1483579 0.1950150 
-8.1296148 -6.0981083 0.2081756 
-8.0662050 -6.0275202 0.1926222 
-7.9968133 -6.0825553 0.2656033 
-8.0482588 -6.1627145 0.2500500 
-8.0769730 -6.1328044 0.2440679 
-8.1116686 -6.0849481 0.1722832 
-8.1032934 -6.0203419 0.1567299 
-8.0350981 -5.9868422 0.2679961 
-8.0422773 -6.0011992 0.1603191 
-8.1667032 -6.0275202 0.1531406 
-8.1583290 -6.1256261 0.2919244 
-8.0255270 -6.0933228 0.2285146 
-8.1092758 -6.1268225 0.1244268 
-8.1499538 -6.1698933 0.1328017 
-8.0518484 -6.1878395 0.0729811 
-8.0374908 -6.1196437 0.1746760 
-8.0398836 -6.0502520 0.2727818 
-8.0458660 -6.1016979 0.1244268 
-8.0111704 -6.0933228 0.2033899 
-8.0039921 -6.2177496 0.3146562 
-8.0039921 -6.1591253 0.2368894 
-8.0614195 -6.0478592 0.2859423 
-8.1272221 -6.0586271 0.1555335 
-8.1403828 -6.0526447 0.1555335 
-8.1403828 -6.0897336 0.2787638 
-8.0769730 -6.0670018 0.2081756 
-8.0614195 -6.0897336 0.1555335 
-8.0530443 -6.0418773 0.1842473 
-8.0853481 -6.1112690 0.2297110 
-8.0542412 -6.1615181 0.3278167 
-8.0135632 -6.1399827 0.3409772 
-8.0685978 -6.1591253 0.2548356 
-8.0171518 -6.0155563 0.2703890 
-8.0590267 -6.0215383 0.2321038 
-8.2241316 -6.1675005 0.1531406 
-8.1140614 -6.1411791 0.0981057 
-8.0398836 -6.0897336 0.1842473 
-8.0434732 -6.1328044 0.2416751 
-8.0123663 -6.0394845 0.1244268 
-8.0745802 -6.0993052 0.2213361 
-8.0961151 -6.1435723 0.2883351 
-8.0985079 -6.1040907 0.1292124 
-8.1140614 -6.1375899 0.0669990 
-8.0745802 -6.0957155 0.1686940 
-8.1451683 -6.1304116 0.2201397 
-8.1355972 -6.1220369 0.1304088 
-8.0925264 -6.1758752 0.2524428 
-8.1355972 -6.1615181 0.3206382 
-8.1224365 -6.0263238 0.3278167 
-8.0853481 -6.0586271 0.3409772 
-8.0925264 -6.1088762 0.1591227 
-8.1188469 -6.1495543 0.1268196 
-8.0674019 -6.1435723 0.2416751 
-7.9968133 -6.1256261 0.2919244 
-8.1092758 -6.1698933 0.3122634 
-7.9752779 -6.0526447 0.1399801 
-7.9429746 -6.1639113 0.1411765 
-8.1475611 -6.1782680 0.2787638 
-8.0015993 -6.0610199 0.1722832 
-7.9465642 -6.0849481 0.1351945 
-8.0961151 -6.0586271 0.2883351 
-8.0937223 -6.0693946 0.2943172 
-8.0662050 -6.1040907 0.2835495 
-8.0219383 -6.1710896 0.2943172 
-7.9585280 -6.1806607 0.3062813 
-8.0685978 -6.1615181 0.2009971 
-8.1499538 -6.1615181 0.1040878 
-8.1523466 -6.1005015 0.1507478 
-8.1355972 -6.1280189 0.1112663 
-8.1595249 -6.2392850 0.1328017 
-8.1009007 -6.1675005 0.1794617 
-8.0458660 -6.1782680 0.1591227 
-7.9776707 -6.1878395 0.1663012 
-7.9621172 -6.0933228 0.1950150 
-8.1116686 -6.1435723 0.3637090 
-8.1248293 -6.0777693 0.3481557 
-8.1403828 -6.0873408 0.2919244 
-8.1116686 -6.0705910 0.2991028 
-7.9824562 -6.0717874 0.2033899 
-8.0111704 -6.1519470 0.1818545 
-8.0195456 -6.1746788 0.1998007 
-8.0961151 -6.1184473 0.2416751 
-8.0877409 -6.0059848 0.2572284 
-8.0111704 -6.0538411 0.2679961 
-8.1140614 -6.1459651 0.1842473 
-8.1092758 -6.0897336 0.1459622 
-7.9932241 -5.9736819 0.1220340 
-8.0374908 -6.0610199 0.2033899 
-8.0374908 -6.0981083 0.1663012 
-7.9621172 -6.1244297 0.1710868 
-8.0662050 -6.1758752 0.3014956 
-8.0925264 -6.0394845 0.1974079 
-8.1044903 -6.0000029 0.1818545 
-8.1403828 -6.0945191 0.2787638 
-8.0961151 -6.0179491 0.2321038 
-8.1164541 -5.9916277 0.2213361 
-8.1068830 -6.0203419 0.1686940 
-8.0745802 -6.0849481 0.1220340 
-7.9908314 -6.1280189 0.1663012 
-7.9932241 -6.1675005 0.2368894 
-8.1092758 -6.1495543 0.2033899 
-8.0674019 -6.0035920 0.1770689 
-8.0542412 -6.1244297 0.2656033 
-8.1044903 -6.1722860 0.2524428 
-8.1068830 -6.0658054 0.1579263 
-8.0721874 -6.0131631 0.0646062 
-7.9752779 -6.0203419 0.1028914 
-8.0614195 -6.1411791 0.1244268 
-8.0662050 -6.1088762 0.1770689 
-8.0901337 -6.1495543 0.2009971 
-8.1619177 -6.1435723 0.2237289 
-8.0877409 -6.0131631 0.1459622 
-8.1774712 -6.1878395 0.2596213 
-8.1068830 -6.1567326 0.2285146 
